"year"|"month"|"value"|"value_old"|"check"
2019|12|15936.620419|16028.54481084|FALSE
2020|12|13993.26189139|14492.38499165|FALSE
2021|1|1258.9652086|1300.46569444|FALSE
2021|2|2428.83628471|2490.84292292|FALSE
2021|3|3869.92209859|3979.94444766|FALSE
2021|4|5297.89010431|5468.68421997|FALSE
2021|5|6777.74379694|6977.51141167|FALSE
2021|6|8446.39733053|8717.03109233|FALSE
2021|7|9907.11707246|10250.21631901|FALSE
2021|8|11453.44649787|11777.58439343|FALSE
2021|9|12966.48737524|13358.65103552|FALSE
2021|10|14722.90030077|15125.41273093|FALSE
2021|11|16574.49177178|16946.52354849|FALSE
